source,target,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
adverse_event_reporting,clinical_trial,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
adverse_event_reporting,data_integrity,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
adverse_event_reporting,oversight,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
data_integrity,quality_assurance,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
oversight,quality_assurance,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
data_integrity,risk_based_monitoring,2020-2023,2024-current,0,2,6,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,False,0.08333333333333334,1.0,True
clinical_study,clinical_trial,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_study,clinical_trial,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
clinical_study,data_integrity,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_study,data_integrity,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
clinical_study,oversight,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_study,oversight,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
clinical_study,regulatory_guideline,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_study,regulatory_guideline,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
clinical_trial,data_integrity,2020-2023,2024-current,3,3,6,3,0.5,1.0,0.5,0.5,False,False,0.4642857142857142,1.0,True
clinical_trial,oversight,Before 2015,2015-2019,1,2,1,4,1.0,0.5,-0.5,0.5,False,False,1.0,1.0,True
clinical_trial,oversight,2020-2023,2024-current,3,0,6,3,0.5,0.0,-0.5,0.5,False,True,0.46428571428571436,1.0,True
clinical_trial,quality_assurance,Before 2015,2015-2019,1,2,1,4,1.0,0.5,-0.5,0.5,False,False,1.0,1.0,True
clinical_trial,regulatory_guideline,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_trial,regulatory_guideline,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
clinical_trial,risk_based_monitoring,2020-2023,2024-current,1,2,6,3,0.16666666666666666,0.6666666666666666,0.5,0.5,False,False,0.22619047619047622,1.0,True
data_integrity,oversight,Before 2015,2015-2019,1,2,1,4,1.0,0.5,-0.5,0.5,False,False,1.0,1.0,True
data_integrity,regulatory_guideline,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
data_integrity,regulatory_guideline,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
oversight,regulatory_guideline,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
oversight,regulatory_guideline,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
data_integrity,oversight,2015-2019,2020-2023,2,1,4,6,0.5,0.16666666666666666,-0.33333333333333337,0.33333333333333337,False,False,0.5,1.0,True
central_statistical_monitoring,clinical_trial,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
central_statistical_monitoring,data_integrity,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
central_statistical_monitoring,outlier_detection,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
central_statistical_monitoring,risk_based_monitoring,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
clinical_trial,governance_traceability,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
